U_ID,MOD_ID,GLAC_ID,MOD_H,GLAC_H,DEBRIS,FRAC_GLAC
563,65834,17,5440.84,5440.84,0,1
564,65835,17,5401.8,5401.8,0,1
565,65836,17,5419.96,5419.96,0,1
566,65837,17,5423.72,5423.72,0,1
567,65838,17,5453.92,5451.04,0,0.92
568,65839,17,5565.92,5495.5,0,0.08
569,66058,63,5455.76,5585,0,0.04
570,66059,63,5485.6,5560,0,0.12
571,66060,63,5398.36,5376.5,0,0.08
572,66068,29,5094.64,5080.3,0,0.4
573,66069,29,5077.6,5076.23,0,0.88
574,66071,28,5388.08,5403.4,0,0.4
575,66072,27,5497.24,5503.75,0,0.8
576,66073,27,5538.72,5530.88,0,0.68
577,66094,77,5180.72,5233.64,0,0.44
578,66095,77,5225,5271,0,0.08
579,66097,16,5749.24,5964,0,0.08
580,66098,14,5981.84,6051,0,0.04
581,66098,16,5981.84,5993.38,0,0.84
582,66099,14,5895.64,5903.47,0,0.68
583,66099,16,5895.64,5962.5,0,0.16
584,66100,14,5708.08,5724.43,0,0.56
585,66101,17,5616.12,5605.44,0,0.36
586,66102,17,5564.92,5564.92,0,1
587,66103,17,5513.16,5513.16,0,1
588,66104,17,5463.72,5465.08,0,0.96
589,66105,17,5433.24,5433.23,0,0.88
590,66106,17,5428.84,5428.84,0,1
591,66107,17,5432.6,5432.6,0,1
592,66108,17,5433.92,5433.92,0,1
593,66109,17,5469.6,5456.55,0,0.8
594,66321,68,5167.4,5186.67,0,0.12
595,66325,65,5265,5316,0,0.04
596,66326,65,5221.6,5295.75,0,0.16
597,66329,63,5525.88,5567,0,0.04
598,66330,63,5468.6,5470.87,0,0.92
599,66331,63,5355.6,5357.46,0,0.96
600,66340,29,5029.04,5033.95,0,0.84
601,66341,29,5131.88,5048.5,0,0.08
602,66342,28,5225.36,5241.4,0,0.2
603,66343,27,5344.56,5342.58,0,0.96
604,66344,27,5325.4,5321.18,0,0.88
605,66345,27,5365.44,5279,0,0.24
606,66364,77,5271.48,5270.75,0,0.16
607,66365,77,5301.28,5301.28,0,1
608,66366,77,5325.32,5308,0,0.56
609,66368,12,5878.92,6070,0,0.04
610,66368,16,5878.92,6062.75,0,0.16
611,66369,12,6095,6112,0,0.04
612,66369,14,6095,6093.07,0,0.56
613,66369,16,6095,6096,0,0.4
614,66370,13,5959.12,5929.67,0,0.12
615,66370,14,5959.12,5963.14,0,0.88
616,66371,14,5715.88,5791.88,0,0.32
617,66373,17,5519.04,5509.46,0,0.52
618,66374,17,5477.12,5482.86,0,0.28
619,66375,17,5440.32,5468,0,0.04
620,66376,17,5431.48,5430.6,0,0.6
621,66377,17,5429.88,5429.88,0,1
622,66378,17,5437.64,5437.64,0,1
623,66379,17,5453.48,5453.48,0,1
624,66380,17,5497.16,5495.83,0,0.96
